2022-12-14 21:23:26,319 | ERROR | views | Error Test
2022-12-14 21:23:26,319 | CRITICAL | views | Critical Test
2022-12-14 21:23:26,341 | INFO | basehttp | "GET / HTTP/1.1" 200 4295
2022-12-14 21:24:16,516 | INFO | autoreload | C:\Users\BudzzeM\PythonProjects\NewsPaper\NewsPaper\newsportal\views.py changed, reloading.
2022-12-14 21:24:19,237 | INFO | autoreload | Watching for file changes with StatReloader
2022-12-14 21:24:22,044 | INFO | views | Info Test
2022-12-14 21:24:22,044 | WARNING | views | Warning Test
2022-12-14 21:24:22,044 | ERROR | views | Error Test
2022-12-14 21:24:22,045 | CRITICAL | views | Critical Test
2022-12-14 21:24:22,068 | INFO | basehttp | "GET / HTTP/1.1" 200 4295
2022-12-14 21:25:13,972 | INFO | autoreload | C:\Users\BudzzeM\PythonProjects\NewsPaper\NewsPaper\newsportal\views.py changed, reloading.
2022-12-14 21:25:15,670 | INFO | autoreload | Watching for file changes with StatReloader
2022-12-14 21:25:16,424 | ERROR | views | Error Test
2022-12-14 21:25:19,264 | CRITICAL | views | Critical Test
2022-12-14 21:25:21,304 | INFO | basehttp | "GET / HTTP/1.1" 200 4295
2022-12-14 21:26:25,554 | INFO | autoreload | C:\Users\BudzzeM\PythonProjects\NewsPaper\NewsPaper\newsportal\views.py changed, reloading.
2022-12-14 21:26:26,790 | INFO | autoreload | Watching for file changes with StatReloader
2022-12-14 21:26:40,183 | INFO | views | Info Test
2022-12-14 21:26:40,183 | WARNING | views | Warning Test
2022-12-14 21:26:40,184 | ERROR | views | Error Test
2022-12-14 21:26:42,490 | CRITICAL | views | Critical Test
2022-12-14 21:26:44,374 | INFO | basehttp | "GET / HTTP/1.1" 200 4295
2022-12-14 21:29:52,009 | INFO | autoreload | C:\Users\BudzzeM\PythonProjects\NewsPaper\NewsPaper\newsportal\views.py changed, reloading.
2022-12-14 21:29:53,580 | INFO | autoreload | Watching for file changes with StatReloader
